request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,75.3313,74.7735,false
1,88.1947,87.7995,false
2,90.4973,89.7759,false
3,97.2625,92.4573,false
4,139.9191,139.1507,false
5,108.5381,104.2801,false
6,54.1305,53.6613,false
7,97.9694,97.3305,false
8,95.8866,95.3908,false
9,96.2474,95.6354,false
10,108.5826,108.0077,false
11,116.8548,116.3434,false
12,99.2371,98.7118,false
13,105.5854,103.5394,false
14,132.8338,131.4757,false
15,93.9099,93.4636,false
16,89.5243,89.0351,false
17,125.9845,125.5396,false
18,111.87,111.2935,false
19,140.7853,140.2683,false
20,116.0761,115.471,false
21,86.7711,86.3771,false
22,86.573,86.172,false
23,100.421,100.0691,false
24,78.1595,77.6822,false
25,104.1425,103.7394,false
26,91.4943,91.0662,false
27,117.497,116.9529,false
28,103.501,102.8584,false
29,93.5021,93.0509,false
30,103.5955,103.2435,false
31,102.9408,102.5772,false
32,105.123,104.6989,false
33,94.1771,93.7619,false
34,70.5051,70.1593,false
35,83.6813,83.3692,false
36,73.1352,72.741,false
37,93.6324,93.0434,false
38,72.1933,71.8961,false
39,59.942,59.6255,false
40,64.1094,63.45,false
41,58.4364,58.0893,false
42,84.9786,84.6332,false
43,68.6998,68.3809,false
44,56.1883,55.899,false
45,68.5299,68.2285,false
46,71.1598,70.8475,false
47,86.9469,86.3921,false
48,79.9001,79.5757,false
49,58.128,57.3875,false
50,81.3777,81.0714,false
51,66.6258,66.1785,false
52,96.7793,96.1287,false
53,145.476,144.9834,false
54,88.7031,88.3195,false
55,97.8626,97.551,false
56,86.9736,86.5453,false
57,115.1172,114.8196,false
58,96.7215,96.3744,false
59,77.0201,76.7386,false
60,87.5137,87.2056,false
61,91.2985,90.8148,false
62,98.5496,98.2495,false
63,75.3956,75.0838,false
64,73.1784,72.8958,false
65,64.1335,63.8291,false
66,76.9925,76.712,false
67,98.9914,98.7253,false
68,65.5633,65.2649,false
69,74.2711,74.005,false
70,92.9913,92.7252,false
71,95.2933,95,false
72,63.4575,63.1762,false
73,73.7695,73.5066,false
74,68.5537,68.2876,false
75,84.7404,84.4585,false
76,71.1113,70.7666,false
77,89.5387,89.2664,false
78,85.2846,84.9376,false
79,75.7736,75.4383,false
80,58.9123,58.5734,false
81,66.9221,66.5993,false
82,118.1988,117.8151,false
83,94.3274,93.968,false
84,87.6053,87.2887,false
85,107.5256,107.1976,false
86,77.7488,77.4557,false
87,102.6533,102.3618,false
88,64.8989,64.5712,false
89,67.3156,67.0307,false
90,75.6406,75.3412,false
91,117.0722,116.7961,false
92,67.3348,67.0354,false
93,74.4942,74.2054,false
94,76.4965,76.1482,false
95,83.9344,83.6345,false
96,62.5463,62.2678,false
97,67.7936,67.4945,false
98,83.9626,83.6821,false
99,74.1258,73.8449,false
100,73.6884,73.4026,false
101,81.0425,80.7461,false
102,73.5826,73.275,false
103,63.2698,62.9834,false
104,76.5832,76.2826,false
105,75.1569,74.8491,false
106,62.318,61.9039,false
107,75.3749,75.0886,false
108,79.2548,78.9193,false
109,83.6652,83.3757,false
110,74.1753,73.8659,false
111,96.135,95.8514,false
112,72.0528,71.7095,false
113,109.9109,109.5586,false
114,79.5487,79.273,false
115,81.2943,80.9672,false
116,75.335,75.0708,false
117,78.2088,77.9247,false
118,75.7861,75.4492,false
119,75.5274,75.2512,false
120,73.1071,72.8356,false
121,79.9084,79.6116,false
122,95.7847,95.4573,false
123,89.5271,89.1137,false
124,81.6855,81.3686,false
125,74.9619,74.6778,false
126,75.5372,75.2432,false
127,86.8127,86.531,false
128,89.6973,89.416,false
129,76.1211,75.7556,false
130,86.2342,85.9627,false
131,65.0102,64.729,false
132,65.6963,65.4171,false
133,60.302,60.0082,false
134,67.622,67.3253,false
135,103.6816,103.4586,false
136,71.1511,70.821,false
137,58.8154,58.5351,false
138,76.6865,76.4027,false
139,87.0274,86.7376,false
