sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:35.4369746+00:00,0.3282,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,66969600,190545920,36483805184,94,11,7678368,,0,0,0,0,0,0,7669848,66924544,,36483805184,,190406656,,15880192,,45481984,,5562368,,,,,,,,,
1,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:38.3380305+00:00,2901.3827,setup,t1-after-model-load,0,0,0,0,0,0,0,945455104,1998938112,38928130048,110,21,8276056,,0,0,0,0,0,0,8265784,945422336,,38928125952,,1998798848,,869236736,,67735552,,8450048,,,,,,,,,
2,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:38.5012629+00:00,3064.6142,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,951271424,1999003648,38928130048,110,21,8374488,,0,0,0,0,0,0,8363904,951246848,,38928130048,,1998864384,,870006784,,72335360,,8904704,,,,,,,126.2273,67,false
3,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:38.8189537+00:00,3382.3048,warmup,warmup-complete,0,0,0,0,0,5,5,952381440,1999806464,38928130048,100,21,745976,,612784,7296,1,1,0,0,8508016,952381440,,38928130048,,1999667200,,870912000,,72466432,,9003008,,,,,,,,,
4,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:38.8208538+00:00,3384.2047,measurement,request-count-0,0,0,0,0,0,5,5,952381440,1999806464,38928130048,100,21,811768,,612784,7296,1,1,0,0,8573616,952381440,,38928130048,,1999667200,,870912000,,72466432,,9003008,,,,,,,,,
5,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:39.7515253+00:00,4314.8769,measurement,request-count-10,10,10,10,0,0,5,15,954576896,2000871424,38928146432,102,21,1140728,,612784,7296,1,1,0,0,8901616,954576896,,38928146432,,2000732160,,871976960,,72683520,,9916416,,109.4372,91.9261,87.9922,111.2343,112.4107,108.666,67,false
6,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:43.1998519+00:00,7763.2034,measurement,request-count-50,50,50,50,0,0,5,55,955547648,2001276928,38928138240,102,21,2186232,,612784,7296,1,1,0,0,9944024,955547648,,38928138240,,2001137664,,872398848,,72683520,,10465280,,77.1472,85.7292,79.7656,113.0839,129.9634,76.7921,67,false
7,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:47.4910347+00:00,12054.3862,measurement,request-count-100,100,100,100,0,0,5,105,961122304,2056380416,39247175680,104,22,3480248,,612784,7296,1,1,0,0,11234248,961118208,,39247175680,,2056241152,,876920832,,73535488,,10661888,,73.5858,84.2386,79.5794,135.544,144.2899,73.2594,67,false
8,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:51.6363881+00:00,16199.7397,measurement,request-count-150,150,150,150,0,0,5,155,961085440,2022825984,39213613056,102,21,4766432,,612784,7296,1,1,0,0,12516640,961085440,,39213613056,,2022686720,,876867584,,73535488,,10682368,,78.667,82.3299,81.3474,119.9386,136.3889,78.3338,67,false
9,phase3a-pilot-noise-b-20260925-v3,full-pipeline,2026-09-24T21:08:55.6193720+00:00,20182.7239,measurement,request-count-200,200,200,200,0,0,5,205,961142784,2022825984,39213613056,102,21,6059424,,612784,7296,1,1,0,0,13805840,961142784,,39213613056,,2022686720,,876904448,,73535488,,10702848,,88.2836,79.1966,78.1126,101.4138,143.2272,87.9395,67,false
