request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,81.2723,80.6768,false
1,63.6173,62.9669,false
2,82.772,82.1789,false
3,61.6294,60.885,false
4,70.2285,69.2583,false
5,92.9702,92.4171,false
6,81.4474,80.5742,false
7,68.6629,68.0513,false
8,98.1092,97.5423,false
9,81.5229,78.8175,false
10,80.2772,79.7363,false
11,95.5021,94.9193,false
12,72.6078,71.8689,false
13,103.0664,102.5753,false
14,80.1306,79.5269,false
15,78.9846,78.5182,false
16,128.5871,128.1291,false
17,104.43,103.9318,false
18,77.4374,76.9781,false
19,86.7982,86.0256,false
20,83.0897,82.6992,false
21,83.7569,83.3177,false
22,109.6801,109.061,false
23,97.6878,97.1836,false
24,84.51,83.9106,false
25,93.6414,93.1913,false
26,97.3316,96.8872,false
27,108.2641,107.6578,false
28,90.0123,89.5053,false
29,78.5033,78.0531,false
30,71.7411,71.3686,false
31,60.4298,60.0423,false
32,102.023,101.6657,false
33,94.6082,94.1878,false
34,92.2612,91.853,false
35,65.2829,64.8774,false
36,58.2421,57.6003,false
37,92.8096,92.4415,false
38,84.4601,84.0919,false
39,73.0932,72.75,false
40,79.6066,79.2454,false
41,121.8775,121.5153,false
42,80.5938,80.2456,false
43,67.438,67.1857,false
44,75.9676,75.6362,false
45,88.3559,88.0263,false
46,84.0732,83.7731,false
47,71.5925,71.2835,false
48,105.6511,105.3336,false
49,76.3529,76.0496,false
50,70.5726,70.2501,false
51,66.949,66.5963,false
52,69.7455,69.0913,false
53,86.7089,86.2858,false
54,95.4589,95.078,false
55,63.5982,63.2257,false
56,74.1878,73.8178,false
57,110.5062,110.0981,false
58,103.1128,101.4501,false
59,116.811,116.327,false
60,104.4993,104.1613,false
61,70.8545,70.499,false
62,85.587,85.2679,false
63,87.1329,86.8372,false
64,88.0007,87.6084,false
65,65.5199,65.1803,false
66,122.8028,122.4301,false
67,68.6638,67.8172,false
68,86.5636,86.1906,false
69,69.583,69.1797,false
70,80.3494,79.811,false
71,82.524,82.1949,false
72,84.1877,83.8057,false
73,98.6753,98.3389,false
74,67.2309,66.9101,false
75,58.7572,58.4744,false
76,80.4226,80.1373,false
77,77.6527,77.3645,false
78,82.8687,82.5896,false
79,65.1829,64.9017,false
80,67.6433,67.3572,false
81,79.8722,79.5794,false
82,53.7673,53.4644,false
83,82.2201,81.9505,false
84,67.887,67.4976,false
85,75.877,75.5829,false
86,88.1817,87.9066,false
87,56.4904,56.2063,false
88,75.0401,74.7372,false
89,102.9014,102.4727,false
90,95.0368,91.582,false
91,85.842,85.4998,false
92,81.0716,80.805,false
93,58.6366,58.3458,false
94,77.3645,77.0719,false
95,127.2565,126.8969,false
96,90.6386,90.2965,false
97,64.3101,63.9689,false
98,75.2986,74.5859,false
99,87.941,87.6153,false
100,70.8227,70.5423,false
101,64.1556,63.8298,false
102,121.2506,120.8954,false
103,58.7442,58.3935,false
104,65.1061,64.6682,false
105,75.26,74.8066,false
106,86.7283,86.3693,false
107,78.5475,78.2009,false
108,72.8156,72.4756,false
109,64.6949,64.3432,false
110,73.8328,73.5007,false
111,64.9588,64.6111,false
112,68.6091,68.2235,false
113,70.5056,70.1636,false
114,54.2699,53.7407,false
115,85.2735,84.8325,false
116,67.2723,66.9274,false
117,120.7469,120.2652,false
118,77.6884,77.4185,false
119,59.418,59.0822,false
120,68.3119,68.0285,false
121,83.1314,82.8419,false
122,81.4152,81.1284,false
123,60.9814,60.6741,false
124,79.8517,79.5673,false
125,112.1819,111.8978,false
126,83.6867,83.3874,false
127,65.5611,65.2888,false
128,96.8103,96.4863,false
129,87.8,87.4296,false
130,88.4642,88.0984,false
131,111.9121,111.4597,false
132,59.6817,59.3895,false
133,72.2319,71.9068,false
