sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:32.2984776+00:00,0.4612,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,66351104,189890560,36349394944,94,11,7272720,0,0,0,0,0,0,7264992,66314240,,36349394944,,189751296,,15376384,,45379584,,5558272,,,,,,,,,
1,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:34.9734753+00:00,2675.4573,setup,t1-after-model-load,0,0,0,0,0,0,0,944975872,1998503936,38793871360,110,21,7851808,0,0,0,0,0,0,7842352,944951296,,38793871360,,1998299136,,868814848,,67674112,,8462336,,,,,,,,,
2,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:35.1217142+00:00,2823.6959,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,952750080,1998569472,38793871360,110,21,7941760,0,0,0,0,0,0,7932040,952733696,,38793871360,,1998430208,,869580800,,74240000,,8912896,,,,,,,115.6997,67,false
3,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:35.4039630+00:00,3105.9445,warmup,warmup-complete,0,0,0,0,0,5,5,953167872,1998872576,38793879552,110,21,8113952,0,0,0,0,0,0,8103728,953143296,,38793879552,,1998667776,,869851136,,74305536,,8986624,,,,,,,,,
4,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:35.4060420+00:00,3108.0232,measurement,request-count-0,0,0,0,0,0,5,5,953237504,1998938112,38793879552,110,21,8179488,0,0,0,0,0,0,8169048,953212928,,38793879552,,1998733312,,869916672,,74305536,,8990720,,,,,,,,,
5,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:36.1996529+00:00,3901.6355,measurement,request-count-10,10,10,10,0,0,5,15,955420672,2000179200,38793887744,102,21,706384,613072,7272,1,1,0,0,8471176,955416576,,38793887744,,2000039936,,871325696,,74522624,,9568256,,81.5229,78.2232,81.3598,95.7966,97.6466,78.8175,67,false
6,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:39.7024331+00:00,7404.4156,measurement,request-count-50,50,50,50,0,0,5,55,957673472,2001461248,38793879552,102,21,1760728,613072,7272,1,1,0,0,9522424,957673472,,38793879552,,2001321984,,872624128,,74588160,,10461184,,76.3529,87.0189,84.2666,110.2899,125.9703,76.0496,67,false
7,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:43.8647123+00:00,11566.6943,measurement,request-count-100,100,100,100,0,0,5,105,962756608,2056134656,39112921088,105,22,3046816,613072,7272,1,1,0,0,10804720,962756608,,39112921088,,2055995392,,876650496,,75440128,,10665984,,87.941,81.5597,80.386,113.9738,125.0741,87.6153,67,false
8,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:47.8671780+00:00,15569.1606,measurement,request-count-150,150,150,150,0,0,5,155,963039232,2039570432,39096139776,102,21,4341368,613072,7272,1,1,0,0,12095480,963039232,,39096139776,,2039431168,,876912640,,75440128,,10686464,,66.7562,79.636,74.7668,116.8926,125.7756,66.3488,67,false
9,phase3a-pilot-noise-b-20260925,full-pipeline,2026-09-24T18:05:52.1093723+00:00,19811.3542,measurement,request-count-200,200,200,200,0,0,5,205,963067904,2022838272,39079358464,102,21,5630528,613072,7272,1,1,0,0,13380824,963067904,,39079358464,,2022699008,,876920832,,75440128,,10706944,,102.1203,84.3995,80.6899,122.8163,135.5397,101.6415,67,false
