request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,65.8814,65.279,false
1,60.0251,59.6459,false
2,107.2296,106.757,false
3,115.2149,114.7484,false
4,117.2873,116.8462,false
5,104.4769,103.8317,false
6,81.7565,80.8947,false
7,101.4859,101.0694,false
8,92.9325,92.426,false
9,92.5967,92.2104,false
10,73.1991,72.8298,false
11,83.3452,82.9393,false
12,65.671,65.3024,false
13,127.8709,127.4924,false
14,79.3025,78.8123,false
15,73.6538,73.2963,false
16,82.3047,81.9171,false
17,91.5458,91.1459,false
18,65.3263,64.9454,false
19,61.2171,60.8703,false
20,73.8918,73.5502,false
21,87.4992,87.0911,false
22,70.4698,70.0986,false
23,120.0973,119.1532,false
24,77.7568,77.3788,false
25,62.8365,62.4778,false
26,82.6179,82.2755,false
27,115.0364,114.6403,false
28,90.3272,89.8817,false
29,108.176,107.819,false
30,62.3263,61.9637,false
31,69.1376,68.7183,false
32,68.9081,68.5993,false
33,62.6309,62.2527,false
34,82.929,82.6348,false
35,69.816,69.4975,false
36,67.5221,67.1331,false
37,99.4267,99.1328,false
38,77.5444,77.2195,false
39,62.5491,62.2255,false
40,66.6436,66.3162,false
41,77.4353,77.1442,false
42,76.3219,75.983,false
43,77.7492,77.3514,false
44,79.6353,79.3621,false
45,109.7193,109.4031,false
46,112.4643,108.1439,false
47,107.9873,107.5871,false
48,91.0941,90.6101,false
49,61.5064,61.1179,false
50,200.3048,199.9994,false
51,152.8225,152.4793,false
52,78.2583,77.12,false
53,70.942,70.5937,false
54,121.8216,121.4284,false
55,66.7101,66.384,false
56,71.9436,71.5115,false
57,96.3536,95.9043,false
58,66.0789,65.7744,false
59,102.0581,101.7478,false
60,79.116,78.7851,false
61,102.4651,102.102,false
62,65.7024,65.2311,false
63,87.2647,86.4832,false
64,64.0993,63.7769,false
65,85.827,85.4706,false
66,75.0897,74.722,false
67,86.7013,86.3492,false
68,110.094,109.7574,false
69,73.2078,72.6958,false
70,69.2102,68.893,false
71,81.5006,81.1519,false
72,108.6116,108.2657,false
73,84.1226,83.7509,false
74,85.8801,85.5543,false
75,86.9827,86.6587,false
76,101.3174,100.951,false
77,109.743,109.3867,false
78,83.5687,83.1992,false
79,113.617,113.2644,false
80,72.0939,71.7658,false
81,125.3963,125.0503,false
82,100.5127,100.1249,false
83,116.1187,115.7708,false
84,76.3678,76.0429,false
85,75.4976,75.1202,false
86,89.0836,88.7015,false
87,73.5727,73.2181,false
88,75.3542,74.9745,false
89,77.3056,76.9739,false
90,85.3344,85.0112,false
91,82.2278,81.1662,false
92,53.6889,53.3568,false
93,78.8449,78.5146,false
94,80.5516,80.1783,false
95,131.4001,131.0001,false
96,296.8167,296.0816,false
97,100.6707,100.277,false
98,78.8115,78.4588,false
99,65.842,65.4967,false
100,91.4007,91.07,false
101,74.1158,73.8115,false
102,66.1486,65.8253,false
103,67.2346,66.938,false
104,115.4781,115.1953,false
105,67.1302,66.8146,false
106,70.6998,70.2949,false
107,69.0882,68.8171,false
108,87.0521,86.6235,false
109,76.461,75.6447,false
110,75.373,75.0438,false
111,119.6258,119.2715,false
112,76.037,75.751,false
113,61.0838,60.7305,false
114,67.2826,65.7064,false
115,60,59.7078,false
116,68.3041,67.996,false
117,80.1801,79.9066,false
118,47.0046,46.7154,false
119,66.8683,66.5916,false
120,84.543,83.8656,false
121,59.4478,59.1553,false
122,66.1892,65.8971,false
123,60.6517,60.3331,false
124,72.7321,72.4313,false
125,73.9105,73.6192,false
126,93.1896,92.9206,false
127,77.3257,77.0303,false
128,72.0299,71.6752,false
129,82.6333,82.2889,false
130,75.3429,74.9799,false
131,80.6015,80.1962,false
132,71.887,71.5581,false
133,52.7595,52.4312,false
134,62.2021,61.9209,false
135,87.5211,87.2185,false
136,68.776,68.5426,false
137,79.7089,79.412,false
138,82.0356,81.762,false
139,64.8217,64.5362,false
140,68.8748,68.6001,false
141,85.3807,85.1005,false
142,92.6359,92.3545,false
143,79.2954,78.9847,false
144,82.4324,82.1053,false
145,71.309,71.0234,false
146,67.1514,66.8746,false
147,93.1037,92.8156,false
148,69.1509,68.8684,false
149,113.2488,112.952,false
150,91.1498,90.8205,false
151,95.2819,94.9164,false
152,62.9494,62.6228,false
153,80.0147,79.6162,false
154,59.6741,59.3289,false
155,63.1609,62.8029,false
156,72.994,72.6736,false
157,74.9763,74.6394,false
158,76.8871,76.5227,false
159,73.6265,73.2857,false
160,65.0567,64.7317,false
161,80.0772,79.7466,false
162,84.5349,84.2072,false
163,83.8012,83.3008,false
164,69.4503,69.1146,false
165,83.8703,83.5111,false
166,62.1114,61.7487,false
167,73.3663,73.047,false
168,69.0003,68.6746,false
169,64.5145,64.1579,false
170,67.7235,67.3836,false
171,74.5077,74.1773,false
172,66.9713,66.5842,false
173,106.2811,105.9383,false
174,138.6095,138.1613,false
175,78.2366,77.4689,false
176,69.9232,69.5618,false
177,66.9604,66.5994,false
178,58.5069,58.1363,false
179,68.6567,68.3219,false
180,68.075,67.7556,false
181,65.363,64.9978,false
182,74.3333,73.9225,false
183,62.2607,61.9118,false
184,68.8613,68.4638,false
