sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:28.0877362+00:00,0.335,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,66916352,190431232,36349472768,94,11,7691560,,0,0,0,0,0,0,7683064,66871296,,36349472768,,190291968,,15855616,,45453312,,5562368,,,,,,,,,
1,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:30.8144833+00:00,2727.0815,setup,t1-after-model-load,0,0,0,0,0,0,0,945414144,1998901248,38793875456,110,21,8272504,,0,0,0,0,0,0,8262304,945393664,,38793875456,,1998692352,,869195776,,67747840,,8450048,,,,,,,,,
2,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:30.9728750+00:00,2885.4725,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,951300096,1998966784,38793879552,110,21,8362456,,0,0,0,0,0,0,8351992,951283712,,38793879552,,1998823424,,869965824,,72413184,,8904704,,,,,,,113.9535,67,false
3,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:31.2828013+00:00,3195.3987,warmup,warmup-complete,0,0,0,0,0,5,5,952557568,1999790080,38793879552,100,21,731992,,606496,7320,1,1,0,0,8504936,952557568,,38793879552,,1999646720,,870891520,,72544256,,9121792,,,,,,,,,
4,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:31.2855074+00:00,3198.1045,measurement,request-count-0,0,0,0,0,0,5,5,952565760,1999790080,38793883648,100,21,800768,,606496,7320,1,1,0,0,8573496,952565760,,38793883648,,1999646720,,870891520,,72544256,,9129984,,,,,,,,,
5,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:32.2333198+00:00,4145.9172,measurement,request-count-10,10,10,10,0,0,5,15,954351616,2000510976,38793895936,102,21,1122760,,606496,7320,1,1,0,0,8894528,954347520,,38793895936,,2000367616,,871612416,,72761344,,9973760,,92.5967,93.8886,97.2092,116.3547,117.1007,92.2104,67,false
6,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:35.5274496+00:00,7440.0474,measurement,request-count-50,50,50,50,0,0,5,55,955793408,2001436672,38793887744,102,21,2168880,,606496,7320,1,1,0,0,9937552,955793408,,38793887744,,2001293312,,872562688,,72761344,,10469376,,61.5064,81.8873,77.6468,115.2894,124.8391,61.1179,67,false
7,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:40.3269401+00:00,12239.5379,measurement,request-count-100,100,100,100,0,0,5,105,961175552,2056347648,39112925184,105,22,3463136,,606496,7320,1,1,0,0,11228016,961175552,,39112925184,,2056204288,,876896256,,73613312,,10665984,,65.842,94.3381,83.8456,143.1824,249.5258,65.4967,67,false
8,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:44.1485093+00:00,16061.107,measurement,request-count-150,150,150,150,0,0,5,155,961163264,2039570432,39096143872,102,21,4749600,,606496,7320,1,1,0,0,12510688,961163264,,39096143872,,2039427072,,876875776,,73613312,,10674176,,113.2488,75.9492,73.3213,104.2221,117.5934,112.952,67,false
9,phase3a-pilot-noise-c-20260925-v3,full-pipeline,2026-09-24T21:12:47.8417796+00:00,19754.3777,measurement,request-count-200,200,200,200,0,0,5,205,961212416,2039570432,39096143872,102,21,6043040,,606496,7320,1,1,0,0,13800360,961212416,,39096143872,,2039427072,,876892160,,73613312,,10706944,,66.8163,73.4553,70.3895,93.4224,122.7685,66.4718,67,false
